==10647== NVPROF is profiling process 10647, command: ./stencil 20 2048
Time: 425433.16us
==10647== Profiling application: ./stencil 20 2048
==10647== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.02107s  5.5937ms          (16353 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         1        29                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [446]
1.02108s  310.14us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    13   0x2b3ed6010000  [Unified Memory GPU page faults]
1.02120s  6.1565ms          (16353 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         2        28                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [443]
1.02121s  503.49us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    25   0x2b3ed7010000  [Unified Memory GPU page faults]
1.02139s  103.01us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2b3ed6000000  [Unified Memory GPU page faults]
1.02150s  74.976us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    34   0x2b3ed6040000  [Unified Memory GPU page faults]
1.02157s  82.368us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     8   0x2b3ed608d000  [Unified Memory GPU page faults]
1.02166s  174.75us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    17   0x2b3ed6100000  [Unified Memory GPU page faults]
1.02172s  139.87us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    23   0x2b3ed6ffc000  [Unified Memory GPU page faults]
1.02183s  79.104us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    13   0x2b3edc004000  [Unified Memory GPU page faults]
1.02186s  105.54us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    10   0x2b3ed7040000  [Unified Memory GPU page faults]
1.02191s  54.880us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2b3edc040000  [Unified Memory GPU page faults]
1.02196s  134.37us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    16   0x2b3ed7080000  [Unified Memory GPU page faults]
1.02197s  110.59us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2b3edc0a0000  [Unified Memory GPU page faults]
1.02208s  89.024us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2b3edc100000  [Unified Memory GPU page faults]
1.02210s  186.08us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2b3ed7111000  [Unified Memory GPU page faults]
1.02217s  154.53us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    25   0x2b3ed6200000  [Unified Memory GPU page faults]
1.02228s  80.480us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    15   0x2b3edd020000  [Unified Memory GPU page faults]
1.02233s  167.14us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    20   0x2b3ed6240000  [Unified Memory GPU page faults]
1.02236s  63.680us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2b3edd041000  [Unified Memory GPU page faults]
1.02243s  90.016us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    17   0x2b3edd100000  [Unified Memory GPU page faults]
1.02250s  125.54us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    23   0x2b3ed6280000  [Unified Memory GPU page faults]
1.02252s  173.82us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     7   0x2b3ed7200000  [Unified Memory GPU page faults]
1.02262s  100.35us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    14   0x2b3ed6300000  [Unified Memory GPU page faults]
1.02270s  68.736us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    27   0x2b3ed7240000  [Unified Memory GPU page faults]
1.02273s  64.032us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2b3edc280000  [Unified Memory GPU page faults]
1.02277s  180.58us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    11   0x2b3ed7290000  [Unified Memory GPU page faults]
1.02279s  87.552us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2b3edc300000  [Unified Memory GPU page faults]
1.02288s  148.06us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2b3ed6400000  [Unified Memory GPU page faults]
1.02295s  130.46us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2b3ed7300000  [Unified Memory GPU page faults]
1.02303s  168.93us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    16   0x2b3ed6480000  [Unified Memory GPU page faults]
1.02308s  70.336us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2b3edd291000  [Unified Memory GPU page faults]
1.02315s  82.592us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    14   0x2b3edd300000  [Unified Memory GPU page faults]
1.02320s  85.536us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    11   0x2b3edc410000  [Unified Memory GPU page faults]
1.02324s  146.66us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    22   0x2b3ed7400000  [Unified Memory GPU page faults]
1.02328s  116.45us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2b3ed6500000  [Unified Memory GPU page faults]
1.02338s  556.77us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    17   0x2b3ed7480000  [Unified Memory GPU page faults]
1.02340s  73.472us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     8   0x2b3edc500000  [Unified Memory GPU page faults]
1.02348s  187.68us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     7   0x2b3ed6600000  [Unified Memory GPU page faults]
1.02367s  157.09us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2b3ed6680000  [Unified Memory GPU page faults]
1.02650s  7.7120us                    -               -         -         -         -  Tesla V100-PCIE         -         -           64.000000KB   0x2b3ed6ff0000  [Unified Memory Memcpy DtoD]
1.02665s  2.4000us                    -               -         -         -         -  Tesla V100-PCIE         -         -           16.000000KB   0x2b3ed7000000  [Unified Memory Memcpy DtoD]
1.02665s  5.4080us                    -               -         -         -         -  Tesla V100-PCIE         -         -           48.000000KB   0x2b3ed7004000  [Unified Memory Memcpy DtoD]
1.02667s  46.239us          (16353 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         1        29                     -                -  ApplyDoubleStencil_159_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [451]
1.02736s  147.39us          (16353 1 1)       (128 1 1)        16        0B        0B  Tesla V100-PCIE         2        28                     -                -  ApplyDoubleStencil_159_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [452]
1.02745s  7.5840us                    -               -         -         -         -  Tesla V100-PCIE         -         -           64.000000KB   0x2b3ed7000000  [Unified Memory Memcpy DtoD]
1.02766s  107.81us          (16353 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         2        28                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [459]
1.02767s  101.15us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    18   0x2b3ed6ffc000  [Unified Memory GPU page faults]
1.02774s  5.1200us                    -               -         -         -         -  Tesla V100-PCIE         -         -           48.000000KB   0x2b3ed6ff0000  [Unified Memory Memcpy DtoD]
1.02774s  2.8800us                    -               -         -         -         -  Tesla V100-PCIE         -         -           16.000000KB   0x2b3ed6ffc000  [Unified Memory Memcpy DtoD]
1.02951s  388.22us          (16353 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         1        29                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [460]
