==13414== NVPROF is profiling process 13414, command: ./stencil 20 2048
Time: 10214783.19us
==13414== Profiling application: ./stencil 20 2048
==13414== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
618.76ms         -                    -               -         -         -         -                -         -         -           PC 0x404cc8   0x2b7656000000  [Unified Memory CPU page faults]
1.43200s         -                    -               -         -         -         -                -         -         -           PC 0x404cc8   0x2b769ac00000  [Unified Memory CPU page faults]
1.43926s  4.4783ms          (10902 1 1)       (128 1 1)        42        0B        0B  Tesla V100-PCIE         1        39                     -                -  ApplyDoubleStencil_102_gpu(gecko_generator<double>, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [477]
1.43928s  222.05us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    80   0x2b7656000000  [Unified Memory GPU page faults]
1.43947s  2.5920us                    -               -         -         -         -  Tesla V100-PCIE         -         -            4.000000KB   0x2b7656000000  [Unified Memory Memcpy HtoD]
1.43950s  161.98us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    14   0x2b7656204000  [Unified Memory GPU page faults]
1.43966s  90.464us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    21   0x2b7656240000  [Unified Memory GPU page faults]
1.43976s  86.624us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2b7656280000  [Unified Memory GPU page faults]
1.43985s  34.656us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    80   0x2b769ac00000  [Unified Memory GPU page faults]
1.43987s  2.5600us                    -               -         -         -         -  Tesla V100-PCIE         -         -            4.000000KB   0x2b769ac00000  [Unified Memory Memcpy HtoD]
1.43988s  137.31us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2b769ae2d000  [Unified Memory GPU page faults]
1.44002s  52.576us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2b769ae50000  [Unified Memory GPU page faults]
1.44007s  58.592us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     7   0x2b769ae80000  [Unified Memory GPU page faults]
1.44013s  125.79us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    29   0x2b7656300000  [Unified Memory GPU page faults]
1.44026s  70.688us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     8   0x2b769af00000  [Unified Memory GPU page faults]
1.44033s  130.98us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2b7656400000  [Unified Memory GPU page faults]
1.44039s  4.5852ms          (10902 1 1)       (128 1 1)        42        0B        0B  Tesla V100-PCIE         2        40                     -                -  ApplyDoubleStencil_102_gpu(gecko_generator<double>, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [480]
1.44040s  220.54us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    80   0x2b7656000000  [Unified Memory GPU page faults]
1.44046s  182.18us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    10   0x2b7656440000  [Unified Memory GPU page faults]
1.44059s  2.8480us                    -               -         -         -         -  Tesla V100-PCIE         -         -            4.000000KB   0x2b7656000000  [Unified Memory Memcpy DtoD]
1.44063s  174.21us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     7   0x2b7656e01000  [Unified Memory GPU page faults]
1.44065s  4.5960ms          (10902 1 1)       (128 1 1)        42        0B        0B  Tesla V100-PCIE         3        41                     -                -  ApplyDoubleStencil_102_gpu(gecko_generator<double>, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [483]
1.44065s  111.71us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2b7656497000  [Unified Memory GPU page faults]
1.44066s  192.67us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    80   0x2b7656000000  [Unified Memory GPU page faults]
1.44076s  95.520us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    13   0x2b7656501000  [Unified Memory GPU page faults]
1.44080s  95.232us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2b7656e40000  [Unified Memory GPU page faults]
1.44082s  2.7200us                    -               -         -         -         -  Tesla V100-PCIE         -         -            4.000000KB   0x2b7656000000  [Unified Memory Memcpy HtoD]
1.44085s  363.01us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    32   0x2b76578a9000  [Unified Memory GPU page faults]
1.44086s  77.184us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2b769b100000  [Unified Memory GPU page faults]
1.44090s  126.27us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2b7656e80000  [Unified Memory GPU page faults]
1.44094s  130.98us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2b7656600000  [Unified Memory GPU page faults]
1.44102s  118.40us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    28   0x2b7656ca8000  [Unified Memory GPU page faults]
1.44107s  81.856us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    22   0x2b7656620000  [Unified Memory GPU page faults]
1.44109s  1.7920us                    -               -         -         -         -  Tesla V100-PCIE         -         -            4.000000KB   0x2b769ac00000  [Unified Memory Memcpy DtoD]
1.44115s  190.02us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     1   0x2b769c00c000  [Unified Memory GPU page faults]
1.44115s  181.76us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    25   0x2b7656680000  [Unified Memory GPU page faults]
1.44122s  106.59us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    18   0x2b769a000000  [Unified Memory GPU page faults]
1.44133s  146.18us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2b769a041000  [Unified Memory GPU page faults]
1.44134s  84.736us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2b769c080000  [Unified Memory GPU page faults]
1.44134s  109.25us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    15   0x2b769b240000  [Unified Memory GPU page faults]
1.44142s  166.98us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    31   0x2b7656f00000  [Unified Memory GPU page faults]
1.44145s  145.02us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2b7656700000  [Unified Memory GPU page faults]
1.44147s  114.56us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    14   0x2b769a080000  [Unified Memory GPU page faults]
1.44159s  32.320us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    36   0x2b769ac00000  [Unified Memory GPU page faults]
1.44159s  74.208us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     9   0x2b769c100000  [Unified Memory GPU page faults]
1.44159s  218.50us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    16   0x2b769b300000  [Unified Memory GPU page faults]
1.44161s  2.6240us                    -               -         -         -         -  Tesla V100-PCIE         -         -            4.000000KB   0x2b769ac00000  [Unified Memory Memcpy HtoD]
1.44162s  245.86us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    13   0x2b769cc90000  [Unified Memory GPU page faults]
1.44167s  208.99us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    11   0x2b7657000000  [Unified Memory GPU page faults]
1.44182s  99.136us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     4   0x2b7656800000  [Unified Memory GPU page faults]
1.44187s  111.26us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2b769cc01000  [Unified Memory GPU page faults]
1.44188s  161.66us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    22   0x2b7657050000  [Unified Memory GPU page faults]
1.44192s  88.288us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2b7656810000  [Unified Memory GPU page faults]
1.44198s  186.98us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    30   0x2b769a100000  [Unified Memory GPU page faults]
