==10680== NVPROF is profiling process 10680, command: ./stencil 20 2048
Time: 811637.88us
==10680== Profiling application: ./stencil 20 2048
==10680== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.37881s  4.7441ms          (10902 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         3        39                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [453]
1.37883s  284.96us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    28   0x2b6257560000  [Unified Memory GPU page faults]
1.37911s  128.99us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     6   0x2b6257551000  [Unified Memory GPU page faults]
1.37915s  5.6201ms          (10902 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         2        40                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [456]
1.37917s  291.01us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    12   0x2b6256ab0000  [Unified Memory GPU page faults]
1.37924s  113.70us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    19   0x2b6257590000  [Unified Memory GPU page faults]
1.37935s  221.98us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    10   0x2b62575c0000  [Unified Memory GPU page faults]
1.37946s  100.22us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    16   0x2b6256aa8000  [Unified Memory GPU page faults]
1.37950s  4.9008ms          (10902 1 1)       (128 1 1)        28        0B        0B  Tesla V100-PCIE         1        41                     -                -  ApplyDoubleStencil_105_gpu(void*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, void*, void*, void*, void (*) (void*), void*) [459]
1.37952s  337.63us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     3   0x2b6256000000  [Unified Memory GPU page faults]
1.37956s  89.952us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    21   0x2b6256ae0000  [Unified Memory GPU page faults]
1.37958s  158.24us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    27   0x2b6257610000  [Unified Memory GPU page faults]
1.37965s  165.12us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     5   0x2b6256b41000  [Unified Memory GPU page faults]
1.37974s  178.37us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    11   0x2b6257640000  [Unified Memory GPU page faults]
1.37982s  93.984us                    -               -         -         -         -  Tesla V100-PCIE         -         -                     8   0x2b6256b00000  [Unified Memory GPU page faults]
1.37986s  102.18us                    -               -         -         -         -  Tesla V100-PCIE         -         -                    19   0x2b6256020000  [Unified Memory GPU page faults]
