==22125== NVPROF is profiling process 22125, command: ./stencil 20 2048
Time: 26030.06us
==22125== Profiling application: ./stencil 20 2048
==22125== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream        Unified Memory  Virtual Address  Name
617.02ms  1.2800us                    -               -         -         -         -  32.000MB   2e+04GB/s     Managed           -  Tesla V100-PCIE         1         7                     -                -  [CUDA memset]
617.03ms  307.97us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2aded95c7000  [Unified Memory GPU page faults]
617.34ms  223.65us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    15   0x2aded9dc8000  [Unified Memory GPU page faults]
617.56ms  150.37us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     7   0x2adeda5c8000  [Unified Memory GPU page faults]
617.71ms  60.512us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     9   0x2adedadc8000  [Unified Memory GPU page faults]
617.77ms  226.30us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     3   0x2aded9600000  [Unified Memory GPU page faults]
618.00ms  140.16us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     3   0x2aded9e00000  [Unified Memory GPU page faults]
618.14ms  167.78us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     4   0x2aded9e40000  [Unified Memory GPU page faults]
618.31ms  67.968us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     1   0x2aded9680000  [Unified Memory GPU page faults]
618.38ms  71.040us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     4   0x2aded9e80000  [Unified Memory GPU page faults]
618.45ms  86.496us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                     4   0x2adeda680000  [Unified Memory GPU page faults]
618.54ms  133.12us                    -               -         -         -         -         -           -           -           -  Tesla V100-PCIE         -         -                    16   0x2aded9700000  [Unified Memory GPU page faults]
